question,intent
인터넷 켜줘,internet
심심한데 인터넷 켜봐,internet
인터넷 켜 봐,internet
인터넷 할래,internet
크롬 켜봐,internet
크롬 켜줘,internet
구글 홈페이지 띄워봐,internet
인터넷이나 하자,internet
크롬 한 번 켜봐,internet
인터넷 할거야,internet
음 인터넷 할래,internet
인터넷 켜,internet
인터넷 틀어,internet
인터넷 틀어봐,internet
그림 그릴래,paint
그림판 켜,paint
그림판 켜,paint
그림 그릴거야,paint
그림판 켜줘,paint
그림판 틀어줘,paint
그림 그려야징,paint
그림 그려야지,paint
그림 그리자,paint
그림 그리고 싶어,paint
나 인터넷 할래,internet
나 인터넷 하고싶은데,internet
나 그림 그리고 싶어,paint
나 그림 그릴래,paint
나 컴퓨터로 그림 그릴래,paint
나 컴퓨터로 그림 그리고 싶어,paint
나 컴퓨터로 인터넷 하고 싶어,internet
인터넷 할 수 있나,internet
인터넷 좀 켜봐,internet
인터넷이 하고싶네,internet
음 인터넷이나 할까,internet
웹서핑 할래,internet
검색하게 인터넷좀 켜봐,internet
뭐 좀 알아보게 인터넷좀 켜봐,internet
뭐 좀 알아보게 구글 켜봐,internet
뭐 좀 알아보게 크롬 켜봐,internet
뭐 좀 그리자,paint
뭐 좀 그리게 그림판좀 켜봐,paint
뭐 좀 그리고 싶다,paint
뭐 좀 그리고 싶은데,paint
그리고 싶다,paint
그릴만한거 틀어봐,paint
그림 그릴만한거 틀어봐,paint
오늘은 그림이나 그려보자,paint
지금 그림이 그리고 싶네,paint
지금 그림 좀 그리자,paint
오늘은 그림 좀 그리자,paint
아 그려야겠다,paint
그려보자,paint
